scientific_name,category
Arborophila torqueola,LC
Arborophila rufogularis,LC
Pavo cristatus,LC
Coturnix coturnix,LC
Coturnix coromandelica,LC
Synoicus chinensis,LC
Tetraogallus himalayensis,LC
Tetraogallus tibetanus,LC
Alectoris chukar,LC
Lerwa lerwa,LC
Perdicula asiatica,LC
Francolinus francolinus,LC
Ortygornis pondicerianus,LC
Ortygornis gularis,NT
Gallus gallus,LC
Lophophorus impejanus,LC
Tragopan satyra,LC
Ithaginis cruentus,LC
Pucrasia macrolopha,LC
Catreus wallichii,VU
Lophura leucomelanos,LC
Perdix hodgsoniae,LC
Dendrocygna bicolor,LC
Dendrocygna javanica,LC
Cygnus cygnus,LC
Cygnus columbianus,LC
Anser indicus,LC
Anser anser,LC
Clangula hyemalis,VU
Bucephala clangula,LC
Mergellus albellus,LC
Mergus merganser,LC
Tadorna ferruginea,LC
Sarkidiornis melanotos,LC
Nettapus coromandelianus,LC
Netta rufina,LC
Aythya ferina,VU
Aythya baeri,CR
Aythya nyroca,NT
Aythya fuligula,LC
Aythya marila,LC
Rhodonessa caryophyllacea,CR
Spatula querquedula,LC
Spatula clypeata,LC
Mareca falcata,LC
Mareca strepera,LC
Mareca penelope,LC
Anas poecilorhyncha,LC
Anas platyrhynchos,LC
Anas acuta,LC
Anas crecca,LC
Tachybaptus ruficollis,LC
Podiceps cristatus,LC
Podiceps nigricollis,LC
Phoenicopterus roseus,LC
Columba livia,LC
Columba rupestris,LC
Columba leuconota,LC
Columba palumbus,LC
Columba hodgsonii,LC
Columba pulchricollis,LC
Streptopelia orientalis,LC
Streptopelia decaocto,LC
Streptopelia tranquebarica,LC
Spilopelia suratensis,LC
Spilopelia senegalensis,LC
Macropygia unchall,LC
Chalcophaps indica,LC
Treron bicinctus,LC
Treron phayrei,NT
Treron curvirostra,LC
Treron phoenicopterus,LC
Treron apicauda,LC
Treron sphenurus,LC
Ducula badia,LC
Caprimulgus jotaka,LC
Caprimulgus macrurus,LC
Caprimulgus asiaticus,LC
Caprimulgus affinis,LC
Hemiprocne coronata,LC
Zoonavena sylvatica,LC
Hirundapus caudacutus,LC
Hirundapus cochinchinensis,LC
Aerodramus brevirostris,LC
Cypsiurus balasiensis,LC
Tachymarptis melba,LC
Apus pacificus,LC
Apus nipalensis,LC
Apus apus,LC
Centropus sinensis,LC
Centropus bengalensis,LC
Taccocua leschenaultii,LC
Phaenicophaeus tristis,LC
