CommonName,ScientificName,FamilyName,IUCNRedListCategory,BreedingEndemic
Hill Partridge,Arborophila torqueola,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Rufous-throated Partridge,Arborophila rufogularis,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Indian Peafowl,Pavo cristatus,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Common Quail,Coturnix coturnix,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Rain Quail,Coturnix coromandelica,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Asian Blue Quail,Synoicus chinensis,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Himalayan Snowcock,Tetraogallus himalayensis,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Tibetan Snowcock,Tetraogallus tibetanus,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Chukar,Alectoris chukar,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Snow Partridge,Lerwa lerwa,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Jungle Bush-quail,Perdicula asiatica,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Black Francolin,Francolinus francolinus,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Grey Francolin,Ortygornis pondicerianus,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Swamp Francolin,Ortygornis gularis,"Pheasants, Partridges, Turkeys, Grouse",Near Threatened,False
Red Junglefowl,Gallus gallus,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Himalayan Monal,Lophophorus impejanus,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Satyr Tragopan,Tragopan satyra,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Blood Pheasant,Ithaginis cruentus,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Koklass Pheasant,Pucrasia macrolopha,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Cheer Pheasant,Catreus wallichii,"Pheasants, Partridges, Turkeys, Grouse",Vulnerable,False
Kalij Pheasant,Lophura leucomelanos,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Tibetan Partridge,Perdix hodgsoniae,"Pheasants, Partridges, Turkeys, Grouse",Least Concern,False
Fulvous Whistling-duck,Dendrocygna bicolor,"Ducks, Geese, Swans",Least Concern,False
Lesser Whistling-duck,Dendrocygna javanica,"Ducks, Geese, Swans",Least Concern,False
Whooper Swan,Cygnus cygnus,"Ducks, Geese, Swans",Least Concern,False
Tundra Swan,Cygnus columbianus,"Ducks, Geese, Swans",Least Concern,False
Bar-headed Goose,Anser indicus,"Ducks, Geese, Swans",Least Concern,False
Greylag Goose,Anser anser,"Ducks, Geese, Swans",Least Concern,False
Long-tailed Duck,Clangula hyemalis,"Ducks, Geese, Swans",Vulnerable,False
Common Goldeneye,Bucephala clangula,"Ducks, Geese, Swans",Least Concern,False
Smew,Mergellus albellus,"Ducks, Geese, Swans",Least Concern,False
Goosander,Mergus merganser,"Ducks, Geese, Swans",Least Concern,False
Ruddy Shelduck,Tadorna ferruginea,"Ducks, Geese, Swans",Least Concern,False
