gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3183280424	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS989195650	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Milvus	Milvus migrans		SPECIES	Milvus migrans (Boddaert, 1783)	Milvus migrans		NP	Gokarna Forest Reserve	Bagmati	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	27.728134	85.39218							1992-11-10	10	11	1992	5229167	5229167	HUMAN_OBSERVATION	CLO	EBIRD	OBS989195650				CC_BY_4_0		obsr815518			2026-04-23T19:06:23.700Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3205468334	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS991346344	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus	Acrocephalus dumetorum		SPECIES	Acrocephalus dumetorum Blyth, 1849	Acrocephalus dumetorum		NP	Koshi Tappu Wildlife Reserve - Prakashpur Area	Province 1	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	26.695423	87.08176							2020-10-04	4	10	2020	2493145	2493145	HUMAN_OBSERVATION	CLO	EBIRD	OBS991346344				CC_BY_4_0		obsr1077712			2026-04-23T19:06:25.281Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3208478894	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS991864012	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	Passer montanus		SPECIES	Passer montanus (Linnaeus, 1758)	Passer montanus		NP	Pokhara - Phewa Lakeside	Gandaki	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	28.213343	83.956604							2014-01-01	1	1	2014	5231198	5231198	HUMAN_OBSERVATION	CLO	EBIRD	OBS991864012				CC_BY_4_0		obsr826182			2026-04-23T19:06:25.566Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3263273913	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS992402619	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus jocosus		SPECIES	Pycnonotus jocosus (Linnaeus, 1758)	Pycnonotus jocosus		NP	Koshi Tappu Wildlife Reserve - Prakashpur Area	Province 1	PRESENT	7	e2e717bf-551a-4917-bdc9-4fa0f342c530	26.695423	87.08176							2020-10-07	7	10	2020	2486151	2486151	HUMAN_OBSERVATION	CLO	EBIRD	OBS992402619				CC_BY_4_0		obsr1077712			2026-04-23T19:06:25.943Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3269485013	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS992651404	Animalia	Chordata	Aves	Columbiformes	Columbidae	Spilopelia	Spilopelia chinensis		SPECIES	Spilopelia chinensis (Scopoli, 1786)	Spilopelia chinensis		NP	Sangla and Area	Bagmati	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	27.78519	85.31602							2020-10-08	8	10	2020	6101224	6101224	HUMAN_OBSERVATION	CLO	EBIRD	OBS992651404				CC_BY_4_0		obsr826182			2026-04-23T19:06:26.122Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3186456956	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS995583996	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Acridotheres	Acridotheres fuscus		SPECIES	Acridotheres fuscus (Wagler, 1827)	Acridotheres fuscus		NP	Manohara River	Bagmati	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	27.700039	85.39002							2020-10-13	13	10	2020	2489006	2489006	HUMAN_OBSERVATION	CLO	EBIRD	OBS995583996				CC_BY_4_0		obsr1143351			2026-04-23T19:06:28.370Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3206048228	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS997167830	Animalia	Chordata	Aves	Passeriformes	Dicruridae	Dicrurus	Dicrurus macrocercus		SPECIES	Dicrurus macrocercus Vieillot, 1817	Dicrurus macrocercus		NP	Koshi Tappu Wildlife Reserve-Haripur Post	Province 1	PRESENT	60	e2e717bf-551a-4917-bdc9-4fa0f342c530	26.566978	86.99018							2020-10-17	17	10	2020	2493970	2493970	HUMAN_OBSERVATION	CLO	EBIRD	OBS997167830				CC_BY_4_0		obsr892238			2026-04-23T19:06:29.397Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3191479333	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS998090571	Animalia	Chordata	Aves	Columbiformes	Columbidae	Columba	Columba livia		SPECIES	Columba livia J.F.Gmelin, 1789	Columba livia		NP	Sangla and Area	Bagmati	PRESENT	50	e2e717bf-551a-4917-bdc9-4fa0f342c530	27.78519	85.31602							2020-10-18	18	10	2020	2495414	2495414	HUMAN_OBSERVATION	CLO	EBIRD	OBS998090571				CC_BY_4_0		obsr1936382			2026-04-23T19:06:30.204Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3272068601	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS998234998	Animalia	Chordata	Aves	Bucerotiformes	Upupidae	Upupa	Upupa epops		SPECIES	Upupa epops Linnaeus, 1758	Upupa epops		NP	Koshi Tappu Wildlife Reserve-Haripur Post	Province 1	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	26.566978	86.99018							2020-10-17	17	10	2020	2498415	2498415	HUMAN_OBSERVATION	CLO	EBIRD	OBS998234998				CC_BY_4_0		obsr1855816			2026-04-23T19:06:30.305Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
3208614044	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS999568371	Animalia	Chordata	Aves	Gruiformes	Rallidae	Amaurornis	Amaurornis phoenicurus		SPECIES	Amaurornis phoenicurus (Pennant, 1769)	Amaurornis phoenicurus		NP	Koshi Tappu Wildlife Reserve - Prakashpur Area	Province 1	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	26.695423	87.08176							2020-10-20	20	10	2020	2474732	2474732	HUMAN_OBSERVATION	CLO	EBIRD	OBS999568371				CC_BY_4_0		obsr1049377			2026-04-23T19:06:31.327Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
